MRTO4	MRTO4
AKR7L	AKR7L
AKR7A3	AKR7A3
LOC100506730	LOC100506730
AKR7A2	AKR7A2
PQLC2	PQLC2
CAPZB	CAPZB
MINOS1	MINOS1
MINOS1.NBL1	MINOS1.NBL1
RPS14P3	RPS14P3
NBL1	NBL1
HTR6	HTR6
TMCO4	TMCO4
RNF186	RNF186
OTUD3	OTUD3
PLA2G2E	PLA2G2E
PLA2G2A	PLA2G2A
PLA2G5	PLA2G5
PLA2G2D	PLA2G2D
PLA2G2F	PLA2G2F
PLA2G2C	PLA2G2C
UBXN10.AS1	UBXN10.AS1
UBXN10	UBXN10
VWA5B1	VWA5B1
LINC01141	LINC01141
CAMK2N1	CAMK2N1
MUL1	MUL1
FAM43B	FAM43B
CDA	CDA
PINK1	PINK1
MIR6084	MIR6084
PINK1.AS	PINK1.AS
DDOST	DDOST
KIF17	KIF17
SH2D5	SH2D5
HP1BP3	HP1BP3
EIF4G3	EIF4G3
MIR1256	MIR1256
ECE1	ECE1
LOC100506801	LOC100506801
NBPF3	NBPF3
ALPL	ALPL
RAP1GAP	RAP1GAP
USP48	USP48
LDLRAD2	LDLRAD2
HSPG2	HSPG2
CELA3B	CELA3B
CELA3A	CELA3A
LOC101928043	LOC101928043
LINC00339	LINC00339
CDC42	CDC42
WNT4	WNT4
MIR4418	MIR4418
ZBTB40	ZBTB40
EPHA8	EPHA8
MIR6127	MIR6127
C1QA	C1QA
C1QC	C1QC
C1QB	C1QB
EPHB2	EPHB2
MIR4684	MIR4684
MIR4253	MIR4253
LACTBL1	LACTBL1
C1orf234	C1orf234
KDM1A	KDM1A
MIR3115	MIR3115
MIR4419A	MIR4419A
LUZP1	LUZP1
HTR1D	HTR1D
LINC01355	LINC01355
HNRNPR	HNRNPR
ZNF436	ZNF436
ZNF436.AS1	ZNF436.AS1
TCEA3	TCEA3
ASAP3	ASAP3
E2F2	E2F2
LOC101928163	LOC101928163
ID3	ID3
MDS2	MDS2
RPL11	RPL11
TCEB3	TCEB3
TCEB3.AS1	TCEB3.AS1
PITHD1	PITHD1
LYPLA2	LYPLA2
GALE	GALE
HMGCL	HMGCL
FUCA1	FUCA1
CNR2	CNR2
MIR378F	MIR378F
PNRC2	PNRC2
SRSF10	SRSF10
MYOM3	MYOM3
IL22RA1	IL22RA1
IFNLR1	IFNLR1
LOC284632	LOC284632
GRHL3	GRHL3
STPG1	STPG1
NIPAL3	NIPAL3
RCAN3AS	RCAN3AS
RCAN3	RCAN3
LOC100506985	LOC100506985
NCMAP	NCMAP
SRRM1	SRRM1
CLIC4	CLIC4
RUNX3	RUNX3
MIR6731	MIR6731
MIR4425	MIR4425
SYF2	SYF2
RSRP1	RSRP1
RHD	RHD
